Time	Filtered Position	Position	Load	Accelerometer	Drive	Trigger	Spool_1	Spool_2	Strain	lower Head GREEN(Way)	upper Head RED(Way)	Head(Strain)	Head(Strain rate)
s	mm	mm	kN	g	V	V	V	V	mm	mm	mm	%	1/s
0.00076705	-48.53413391	-48.53672028	0.16036953	-11.16149998	-2.27050781	4.81445312	-2.40234375	-0.10253906	0.00000000	0.00000000	0.00000000	0.00000000	10.81579747
0.00080040	-48.49866486	-48.23711014	0.16036953	-0.26159766	-2.27050781	4.81933594	-2.38281250	-0.10253906	0.00000000	0.00000000	0.00000000	0.00000000	10.81579747
0.00083375	-48.46224213	-48.38691330	0.38790861	16.08825493	-2.27539062	4.81445312	-2.37792969	-0.05859375	0.00000000	0.00000000	0.00000000	0.00000000	10.81579747
0.00086710	-48.42511749	-48.46181488	0.50167811	-5.71154881	-2.26562500	4.81933594	-2.36328125	-0.05859375	0.00000000	0.00000000	0.00000000	0.00000000	10.81579747
0.00090045	-48.38787842	-48.46181488	0.16036953	-22.06140327	-2.26562500	4.81933594	-2.37304687	-0.05371094	0.00000000	0.00000000	0.00000000	0.00000000	10.81579747
0.00093380	-48.35081100	-48.23711014	0.16036953	-5.71154881	-2.27539062	4.81445312	-2.33398437	-0.02929687	0.00000000	0.00000000	0.00000000	0.00000000	10.81579747
0.00096715	-48.31396866	-48.23711014	0.04660000	-5.71154881	-2.27539062	4.80957031	-2.37792969	-0.07812500	0.00000000	0.00000000	0.00000000	0.00000000	10.81579747
0.00100050	-48.27748108	-48.46181488	-0.74978673	-27.51135445	-2.25585937	4.81445312	-2.36816406	-0.07324219	0.00000000	0.00000000	0.00000000	0.00000000	10.81579747
0.00103385	-48.24139023	-48.23711014	-0.40847811	10.63830471	-2.27539062	4.81445312	-2.35351562	-0.05371094	0.00000000	0.00000000	0.00000000	0.00000000	10.81579747
0.00106720	-48.20552444	-48.08730316	0.16036953	5.18835354	-2.27050781	4.81933594	-2.36328125	-0.06347656	0.00000000	0.00000000	0.00000000	0.00000000	10.81579747
0.00110055	-48.16951370	-48.08730316	0.16036953	5.18835354	-2.26562500	4.81933594	-2.38281250	-0.11230469	0.00000000	0.00000000	0.00000000	0.00000000	10.81579747
0.00113390	-48.13307953	-48.08730316	0.16036953	-11.16149998	-2.27050781	4.81445312	-2.38281250	-0.09277344	0.00000000	0.00000000	0.00000000	0.00000000	10.81579747
0.00116725	-48.09598923	-47.86259842	0.16036953	-16.61145210	-2.27050781	4.81933594	-2.37304687	-0.07812500	0.00000000	0.00000000	0.00000000	0.00000000	10.81579747
0.00120060	-48.05801773	-47.93750000	0.16036953	-5.71154881	-2.27050781	4.81933594	-2.38281250	-0.05859375	0.00000000	0.00000000	0.00000000	0.00000000	10.81579747
0.00123395	-48.01920700	-47.93750000	0.16036953	5.18835354	-2.27050781	4.81445312	-2.36816406	-0.06835937	0.00000000	0.00000000	0.00000000	0.00000000	10.81579747
0.00126730	-47.97999954	-48.01240158	-0.06716953	16.08825493	-2.27050781	4.81933594	-2.34863281	-0.06347656	0.00000000	0.00000000	0.00000000	0.00000000	10.81579747
0.00130065	-47.94111252	-48.01240158	0.38790861	5.18835354	-2.27050781	4.81933594	-2.36328125	-0.08300781	0.00000000	0.00000000	0.00000000	0.00000000	10.81579747
0.00133400	-47.90304184	-47.93750000	0.27413908	-22.06140327	-2.27539062	4.81933594	-2.38769531	-0.09277344	0.00000000	0.00000000	0.00000000	0.00000000	10.81579747
0.00136735	-47.86560440	-47.78769684	0.04660000	-0.26159766	-2.27539062	4.81445312	-2.36328125	-0.07324219	0.00000000	0.00000000	0.00000000	0.00000000	10.81579747
0.00140070	-47.82815933	-47.56298828	0.04660000	-5.71154881	-2.26562500	4.81445312	-2.36816406	-0.03906250	0.00000000	0.00000000	0.00000000	0.00000000	10.81579747
0.00143405	-47.79011536	-47.56298828	0.61544764	-16.61145210	-2.28515625	4.81933594	-2.37304687	-0.05859375	0.00000000	0.00000000	0.00000000	0.00000000	10.81579747
0.00146740	-47.75137329	-47.78769684	-0.06716953	-22.06140327	-2.24121094	4.81933594	-2.37304687	-0.04394531	0.00000000	0.00000000	0.00000000	0.00000000	10.81579747
0.00150075	-47.71232224	-47.71279144	0.04660000	5.18835354	-2.25097656	4.81445312	-2.37792969	-0.09277344	0.00000000	0.00000000	0.00000000	0.00000000	10.81579747
0.00153410	-47.67351532	-47.63788986	0.16036953	-0.26159766	-2.27539062	4.81933594	-2.36328125	-0.07324219	0.00000000	0.00000000	0.00000000	0.00000000	10.81579747
0.00156745	-47.63537598	-47.71279144	0.27413908	-0.26159766	-2.27050781	4.81933594	-2.35839844	-0.09277344	0.00000000	0.00000000	0.00000000	0.00000000	10.81579747
0.00160080	-47.59817886	-47.63788986	0.16036953	-16.61145210	-2.27050781	4.81445312	-2.35839844	-0.05371094	0.00000000	0.00000000	0.00000000	0.00000000	10.81579747
0.00163415	-47.56195831	-47.63788986	0.16036953	-0.26159766	-2.26562500	4.81445312	-2.35839844	-0.05859375	0.00000000	0.00000000	0.00000000	0.00000000	10.81579747
0.00166750	-47.52653885	-47.56298828	0.04660000	-0.26159766	-2.26562500	4.81445312	-2.34375000	-0.03906250	0.00000000	0.00000000	0.00000000	0.00000000	10.81579747
0.00170085	-47.49158478	-47.41318512	0.16036953	5.18835354	-2.27050781	4.81445312	-2.39257812	-0.09277344	0.00000000	0.00000000	0.00000000	0.00000000	10.81579747
0.00173420	-47.45681000	-47.41318512	-0.18093906	-11.16149998	-2.27050781	4.81933594	-2.39257812	-0.08789062	0.00000000	0.00000000	0.00000000	0.00000000	10.81579747
0.00176755	-47.42219925	-47.56298828	-0.06716953	-5.71154881	-2.25585937	4.81445312	-2.39257812	-0.07812500	0.00000000	0.00000000	0.00000000	0.00000000	10.81579747
0.00180090	-47.38800812	-47.56298828	0.16036953	5.18835354	-2.26562500	4.81933594	-2.34375000	-0.03417969	0.00000000	0.00000000	0.00000000	0.00000000	10.81579747
