Time	Filtered Position	Position	Load	Accelerometer	Drive	Trigger	Spool_1	Spool_2	Strain	lower Head GREEN(Way)	upper Head RED(Way)	Head(Strain)	Head(Strain rate)
s	mm	mm	kN	g	V	V	V	V	mm	mm	mm	%	1/s
0.00015295	-48.11513901	-48.08730316	-0.74978673	-11.16149998	-4.56054687	4.81445312	-4.62890625	-0.04882812	0.00000000	0.00000000	0.00000000	0.00000000	8.03118398
0.00015960	-48.08208084	-48.23711014	0.16036953	10.63830471	-4.56054687	4.80957031	-4.61425781	-0.05371094	0.00000000	0.00000000	0.00000000	0.00000000	8.03118398
0.00016625	-48.04901505	-48.31201172	0.16036953	5.18835354	-4.56054687	4.80468750	-4.63378906	-0.09765625	0.00000000	0.00000000	0.00000000	0.00000000	8.03118398
0.00017290	-48.01595306	-48.16220856	0.27413908	-5.71154881	-4.56054687	4.80957031	-4.60449219	-0.06835937	0.00000000	0.00000000	0.00000000	0.00000000	8.03118398
0.00017955	-47.98289871	-47.93750000	-0.18093906	-11.16149998	-4.56054687	4.81445312	-4.59472656	-0.06835937	0.00000000	0.00000000	0.00000000	0.00000000	8.03118398
0.00018620	-47.94985199	-47.93750000	-0.52224767	-0.26159766	-4.56542969	4.80957031	-4.60937500	-0.07324219	0.00000000	0.00000000	0.00000000	0.00000000	8.03118398
0.00019285	-47.91680908	-47.93750000	0.16036953	5.18835354	-4.56054687	4.80957031	-4.62890625	-0.09765625	0.00000000	0.00000000	0.00000000	0.00000000	8.03118398
0.00019950	-47.88376617	-48.08730316	0.27413908	-0.26159766	-4.56054687	4.80468750	-4.60449219	-0.06347656	0.00000000	0.00000000	0.00000000	0.00000000	8.03118398
0.00020615	-47.85073853	-48.16220856	0.16036953	-0.26159766	-4.56054687	4.80957031	-4.61425781	-0.08300781	0.00000000	0.00000000	0.00000000	0.00000000	8.03118398
0.00021280	-47.81772614	-47.93750000	-0.18093906	5.18835354	-4.56542969	4.80468750	-4.61425781	-0.07812500	0.00000000	0.00000000	0.00000000	0.00000000	8.03118398
0.00021945	-47.78473282	-47.86259842	0.27413908	16.08825493	-4.58984375	4.80957031	-4.61914062	-0.08300781	0.00000000	0.00000000	0.00000000	0.00000000	8.03118398
0.00022610	-47.75175476	-47.63788986	0.16036953	-0.26159766	-4.56054687	4.80957031	-4.61914062	-0.07324219	0.00000000	0.00000000	0.00000000	0.00000000	8.03118398
0.00023275	-47.71879578	-47.86259842	0.16036953	10.63830471	-4.56054687	4.79980469	-4.61425781	-0.05859375	0.00000000	0.00000000	0.00000000	0.00000000	8.03118398
0.00023940	-47.68585205	-47.93750000	0.04660000	5.18835354	-4.56054687	4.80957031	-4.60449219	-0.12695312	0.00000000	0.00000000	0.00000000	0.00000000	8.03118398
0.00024605	-47.65292740	-47.71279144	0.27413908	-0.26159766	-4.57031250	4.80957031	-4.60449219	-0.10253906	0.00000000	0.00000000	0.00000000	0.00000000	8.03118398
