[General]
Dat File Version=	4
Specimen Group=
Component=
Material=	HC550 980DPD+Z
Operator Name=	wANGCHEN
Comments=
Test Date=	15/10/2012
Test Time=	09:46:38
Setup File=	C:\Program Files\Instron\HighRate\Tensile Test\Test Files\120301 -1fa.tst
Calibration File=	C:\Program Files\Instron\HighRate\Tensile Test\Support Files\Tension 1 Valve.cal
Velocity Calibration File Date Modified=	27/03/2012 12:55:02
Transducer Calibration File=	C:\Program Files\Instron\HighRate\Tensile Test\Support Files\Kistler_Tens100kN.tcl
Transducer Calibration File Date Modified= 	04/06/2012 15:02:05
Geometry Type=	0
Direct Area=30.150000	~mm²
Gauge Length=	20.0	~mm
Trigger Type=	Analog
Trigger Channel=	Position
Trigger Level=	-10.000000
Test Direction=	Tension
Actuator Displacement=	200.000000
Velocity=	2.000000
VHS Profiler=	OFF
VHS Profiler File=
Unit System=	0
Load Units=	kN
Extension Units=	mm
Accelerometer Units=	g
Drive Units=	V
Time Units=	s
Numeric Separator=	.
Fiedler Header=	Strain
Number of Pretriggers=	1200
First Pass Filter=	500
Second Pass Filter=	500
Filter Average=	5.000000
Use Second Pass=	False
Time Column=	0
Position Column=	2
Load Column=	3
Accelerometer Column=	4
Trigger Column=	6
Extensometer Column=	9
Position Filtered Column=	1
Valve Drive Column=	5
[Calibration]
Filtered Position	Position	Load	Accelerometer	Drive	Trigger	Spool_1	Spool_2	Strain	lower Head GREEN(Way)	upper Head RED(Way)	Head(Strain)	Head(Strain rate)
15.340000	15.340000	23.300000	-1116.150000	1.000000	1.000000	1.000000	1.000000	0.41688068	0.15202442	0.53394742	2.08440341	14.38571970
0.000000	0.000000	-0.002000	-0.010000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
+/- 10V	+/- 10V	+/- 10V	+/- 10V	+/- 10V	+/- 10V	+/- 10V	+/- 10V
[Start of Data]
Time	Filtered Position	Position	Load	Accelerometer	Drive	Trigger	Spool_1	Spool_2	Strain	lower Head GREEN(Way)	upper Head RED(Way)	Head(Strain)	Head(Strain rate)
s	mm	mm	kN	g	V	V	V	V	mm	mm	mm	%	1/s
0.00000000	-49.17682648	-49.21083832	0.16036953	-27.51135445	-2.95410156	4.80468750	-3.01757812	-0.03417969	0.00000000	0.00000000	0.00000000	0.00000000	13.58323221
0.00001665	-49.14286041	-49.21083832	0.04660000	5.18835354	-2.95410156	4.80957031	-3.02246094	-0.04394531	0.00000000	0.00000000	0.00000000	0.00000000	13.58323221
0.00003330	-49.10901642	-49.36064529	0.16036953	-5.71154881	-2.95410156	4.81445312	-3.04687500	-0.06347656	0.00000000	0.00000000	0.00000000	0.00000000	13.58323221
0.00004995	-49.07535172	-48.98613358	0.27413908	-43.86120605	-2.96386719	4.80957031	-3.03222656	-0.03906250	0.00000000	0.00000000	0.00000000	0.00000000	13.58323221
0.00006660	-49.04185486	-49.06103516	0.16036953	-5.71154881	-2.94921875	4.80957031	-3.01269531	-0.06835937	0.00000000	0.00000000	0.00000000	0.00000000	13.58323221
0.00008325	-49.00854111	-49.36064529	1.18429530	-16.61145210	-2.95898437	4.81445312	-3.03710937	-0.08300781	0.00000000	0.00000000	0.00000000	0.00000000	13.58323221
0.00009990	-48.97546387	-49.21083832	0.16036953	5.18835354	-2.95410156	4.81445312	-3.03710937	-0.06835937	0.00000000	0.00000000	0.00000000	0.00000000	13.58323221
0.00011655	-48.94267654	-48.98613358	-0.18093906	5.18835354	-2.94921875	4.80957031	-3.04199219	-0.06347656	0.00000000	0.00000000	0.00000000	0.00000000	13.58323221
0.00013320	-48.91022491	-49.21083832	-0.18093906	-0.26159766	-2.94433594	4.81445312	-3.05175781	-0.09765625	0.00000000	0.00000000	0.00000000	0.00000000	13.58323221
0.00014985	-48.87811661	-49.06103516	0.04660000	-16.61145210	-2.94921875	4.80957031	-3.05175781	-0.07324219	0.00000000	0.00000000	0.00000000	0.00000000	13.58323221
0.00016650	-48.84632111	-48.91123199	0.04660000	-16.61145210	-2.94433594	4.80957031	-3.04687500	-0.05371094	0.00000000	0.00000000	0.00000000	0.00000000	13.58323221
0.00018315	-48.81471634	-48.76142502	0.16036953	-0.26159766	-2.94921875	4.80957031	-3.03222656	-0.04882812	0.00000000	0.00000000	0.00000000	0.00000000	13.58323221
0.00019980	-48.78321457	-48.98613358	0.27413908	-0.26159766	-2.96386719	4.80957031	-3.03710937	-0.05859375	0.00000000	0.00000000	0.00000000	0.00000000	13.58323221
0.00021645	-48.75178528	-48.83632660	0.16036953	-5.71154881	-2.95410156	4.81445312	-2.99804687	-0.02441406	0.00000000	0.00000000	0.00000000	0.00000000	13.58323221
0.00023310	-48.72042847	-48.91123199	0.16036953	-11.16149998	-2.94921875	4.80957031	-3.04687500	-0.03417969	0.00000000	0.00000000	0.00000000	0.00000000	13.58323221
0.00024975	-48.68910980	-48.68652344	0.16036953	-0.26159766	-2.95410156	4.80957031	-3.03710937	-0.11230469	0.00000000	0.00000000	0.00000000	0.00000000	13.58323221
0.00026640	-48.65776825	-48.68652344	0.16036953	-11.16149998	-2.95410156	4.80957031	-3.03222656	-0.07324219	0.00000000	0.00000000	0.00000000	0.00000000	13.58323221
0.00028305	-48.62631226	-48.46181488	0.16036953	-0.26159766	-2.95410156	4.80957031	-3.03222656	-0.07812500	0.00000000	0.00000000	0.00000000	0.00000000	13.58323221
0.00029970	-48.59469604	-48.76142502	0.04660000	-0.26159766	-2.95410156	4.81445312	-3.05175781	-0.07812500	0.00000000	0.00000000	0.00000000	0.00000000	13.58323221
0.00031635	-48.56298828	-48.68652344	0.16036953	-5.71154881	-2.95410156	4.81445312	-3.06152344	-0.07812500	0.00000000	0.00000000	0.00000000	0.00000000	13.58323221
0.00033300	-48.53134537	-48.91123199	-0.29470858	-38.41125488	-2.95410156	4.81445312	-3.01757812	-0.05859375	0.00000000	0.00000000	0.00000000	0.00000000	13.58323221
0.00034965	-48.49987793	-48.61162186	0.16036953	-22.06140327	-2.94921875	4.80468750	-3.05175781	-0.06347656	0.00000000	0.00000000	0.00000000	0.00000000	13.58323221
0.00036630	-48.46860886	-48.61162186	1.18429530	-11.16149998	-2.94433594	4.81445312	-3.04199219	-0.06835937	0.00000000	0.00000000	0.00000000	0.00000000	13.58323221
0.00038295	-48.43751526	-48.61162186	0.27413908	-0.26159766	-2.95410156	4.81445312	-3.03222656	-0.05859375	0.00000000	0.00000000	0.00000000	0.00000000	13.58323221
0.00039960	-48.40658188	-48.53672028	0.16036953	5.18835354	-2.96386719	4.80957031	-3.02246094	-0.05371094	0.00000000	0.00000000	0.00000000	0.00000000	13.58323221
0.00041625	-48.37582016	-48.68652344	0.04660000	16.08825493	-2.94921875	4.80957031	-3.02734375	-0.05859375	0.00000000	0.00000000	0.00000000	0.00000000	13.58323221
0.00043290	-48.34527206	-48.46181488	0.04660000	-27.51135445	-2.94921875	4.81445312	-3.03710937	-0.04394531	0.00000000	0.00000000	0.00000000	0.00000000	13.58323221
0.00044955	-48.31487656	-48.38691330	-0.06716953	-0.26159766	-2.94921875	4.80957031	-3.01757812	-0.06347656	0.00000000	0.00000000	0.00000000	0.00000000	13.58323221
0.00046620	-48.28453064	-48.23711014	0.16036953	-0.26159766	-2.94921875	4.80957031	-3.03222656	-0.07324219	0.00000000	0.00000000	0.00000000	0.00000000	13.58323221
