[General]
Dat File Version=	4
Specimen Group=
Component=
Material=	HC550 980DPD+Z
Operator Name=	wANGCHEN
Comments=
Test Date=	15/10/2012
Test Time=	10:06:24
Setup File=	C:\Program Files\Instron\HighRate\Tensile Test\Test Files\120301 -1fa.tst
Calibration File=	C:\Program Files\Instron\HighRate\Tensile Test\Support Files\Tension 1 Valve.cal
Velocity Calibration File Date Modified=	27/03/2012 12:55:02
Transducer Calibration File=	C:\Program Files\Instron\HighRate\Tensile Test\Support Files\Kistler_Tens100kN.tcl
Transducer Calibration File Date Modified= 	04/06/2012 15:02:05
Geometry Type=	0
Direct Area=30.150000	~mm²
Gauge Length=	20.0	~mm
Trigger Type=	Analog
Trigger Channel=	Position
Trigger Level=	-10.000000
Test Direction=	Tension
Actuator Displacement=	200.000000
Velocity=	10.000000
VHS Profiler=	OFF
VHS Profiler File=
Unit System=	0
Load Units=	kN
Extension Units=	mm
Accelerometer Units=	g
Drive Units=	V
Time Units=	s
Numeric Separator=	.
Fiedler Header=	Strain
Number of Pretriggers=	1200
First Pass Filter=	500
Second Pass Filter=	500
Filter Average=	5.000000
Use Second Pass=	False
Time Column=	0
Position Column=	2
Load Column=	3
Accelerometer Column=	4
Trigger Column=	6
Extensometer Column=	9
Position Filtered Column=	1
Valve Drive Column=	5
[Calibration]
Filtered Position	Position	Load	Accelerometer	Drive	Trigger	Spool_1	Spool_2	Strain	lower Head GREEN(Way)	upper Head RED(Way)	Head(Strain)	Head(Strain rate)
15.340000	15.340000	23.300000	-1116.150000	1.000000	1.000000	1.000000	1.000000	0.61907895	0.19392557	0.74080418	3.09539475	156.97958426
0.000000	0.000000	-0.002000	-0.010000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
+/- 10V	+/- 10V	+/- 10V	+/- 10V	+/- 10V	+/- 10V	+/- 10V	+/- 10V
[Start of Data]
Time	Filtered Position	Position	Load	Accelerometer	Drive	Trigger	Spool_1	Spool_2	Strain	lower Head GREEN(Way)	upper Head RED(Way)	Head(Strain)	Head(Strain rate)
s	mm	mm	kN	g	V	V	V	V	mm	mm	mm	%	1/s
0.00000000	-48.42998123	-48.46181488	0.16036953	-11.16149998	-6.79199219	4.80468750	-6.72851562	-0.08300781	0.00000000	0.00000000	0.00000000	0.00000000	-4.99936215
0.00000335	-48.39815140	-48.31201172	0.50167811	-0.26159766	-6.81640625	4.80957031	-6.75292969	-0.08300781	0.00000000	0.00000000	0.00000000	0.00000000	-4.99936215
0.00000670	-48.36631775	-48.23711014	0.27413908	-11.16149998	-6.79687500	4.80957031	-6.73828125	-0.08300781	0.00000000	0.00000000	0.00000000	0.00000000	-4.99936215
0.00001005	-48.33448410	-48.31201172	0.16036953	-5.71154881	-6.79199219	4.80468750	-6.73828125	-0.08300781	0.00000000	0.00000000	0.00000000	0.00000000	-4.99936215
0.00001340	-48.30265427	-48.16220856	0.16036953	-38.41125488	-6.79199219	4.80468750	-6.74316406	-0.08300781	0.00000000	0.00000000	0.00000000	0.00000000	-4.99936215
0.00001675	-48.27082062	-48.23711014	0.16036953	-16.61145210	-6.79199219	4.80468750	-6.76757812	-0.09765625	0.00000000	0.00000000	0.00000000	0.00000000	-4.99936215
0.00002010	-48.23898697	-48.31201172	-0.06716953	-22.06140327	-6.78222656	4.80468750	-6.78222656	-0.09277344	0.00000000	0.00000000	0.00000000	0.00000000	-4.99936215
0.00002345	-48.20714951	-48.16220856	0.16036953	-16.61145210	-6.79199219	4.80468750	-6.77246094	-0.07812500	0.00000000	0.00000000	0.00000000	0.00000000	-4.99936215
0.00002680	-48.17531204	-48.31201172	1.18429530	-11.16149998	-6.79199219	4.80468750	-6.77734375	-0.06347656	0.00000000	0.00000000	0.00000000	0.00000000	-4.99936215
0.00003015	-48.14347458	-48.23711014	0.27413908	-5.71154881	-6.79687500	4.80957031	-6.75781250	-0.06835937	0.00000000	0.00000000	0.00000000	0.00000000	-4.99936215
0.00003350	-48.11163712	-48.08730316	0.16036953	-0.26159766	-6.79199219	4.80468750	-6.74804687	-0.06835937	0.00000000	0.00000000	0.00000000	0.00000000	-4.99936215
0.00003685	-48.07979965	-48.23711014	0.27413908	-5.71154881	-6.78710937	4.80957031	-6.74804687	-0.07324219	0.00000000	0.00000000	0.00000000	0.00000000	-4.99936215
0.00004020	-48.04796219	-47.93750000	0.16036953	-5.71154881	-6.79199219	4.80468750	-6.76269531	-0.08789062	0.00000000	0.00000000	0.00000000	0.00000000	-4.99936215
0.00004355	-48.01612091	-47.93750000	0.04660000	-22.06140327	-6.78710937	4.80957031	-6.76757812	-0.10742187	0.00000000	0.00000000	0.00000000	0.00000000	-4.99936215
0.00004690	-47.98428726	-47.86259842	-0.06716953	-5.71154881	-6.78710937	4.80957031	-6.73828125	-0.06835937	0.00000000	0.00000000	0.00000000	0.00000000	-4.99936215
0.00005025	-47.95244980	-47.41318512	1.07052577	-60.21105957	-6.78222656	4.79980469	-6.74316406	-0.05371094	0.00000000	0.00000000	0.00000000	0.00000000	-4.99936215
0.00005360	-47.92060852	-47.86259842	0.27413908	-16.61145210	-6.78222656	4.80468750	-6.74316406	-0.04394531	0.00000000	0.00000000	0.00000000	0.00000000	-4.99936215
0.00005695	-47.88875961	-47.71279144	0.16036953	-0.26159766	-6.79199219	4.80957031	-6.74804687	-0.04882812	0.00000000	0.00000000	0.00000000	0.00000000	-4.99936215
0.00006030	-47.85690308	-47.56298828	0.16036953	-0.26159766	-6.79687500	4.80957031	-6.74804687	-0.05859375	0.00000000	0.00000000	0.00000000	0.00000000	-4.99936215
0.00006365	-47.82503891	-47.86259842	0.16036953	-5.71154881	-6.78710937	4.80957031	-6.74804687	-0.05859375	0.00000000	0.00000000	0.00000000	0.00000000	-4.99936215
0.00006700	-47.79316711	-47.78769684	0.16036953	-5.71154881	-6.79199219	4.80468750	-6.75781250	-0.08300781	0.00000000	0.00000000	0.00000000	0.00000000	-4.99936215
0.00007035	-47.76128769	-47.78769684	0.04660000	5.18835354	-6.79199219	4.80957031	-6.74804687	-0.07324219	0.00000000	0.00000000	0.00000000	0.00000000	-4.99936215
0.00007370	-47.72940063	-47.63788986	0.27413908	-49.31115723	-6.80175781	4.80957031	-6.74804687	-0.05859375	0.00000000	0.00000000	0.00000000	0.00000000	-4.99936215
0.00007705	-47.69750977	-47.71279144	0.04660000	-16.61145210	-6.78222656	4.80468750	-6.72851562	-0.06347656	0.00000000	0.00000000	0.00000000	0.00000000	-4.99936215
0.00008040	-47.66561508	-47.86259842	0.16036953	-11.16149998	-6.79199219	4.80957031	-6.74804687	-0.07812500	0.00000000	0.00000000	0.00000000	0.00000000	-4.99936215
0.00008375	-47.63371277	-47.86259842	0.38790861	-0.26159766	-6.81640625	4.81445312	-6.74804687	-0.06835937	0.00000000	0.00000000	0.00000000	0.00000000	-4.99936215
0.00008710	-47.60181046	-47.48808670	0.16036953	-27.51135445	-6.79199219	4.80957031	-6.73828125	-0.06835937	0.00000000	0.00000000	0.00000000	0.00000000	-4.99936215
0.00009045	-47.56990814	-47.63788986	0.16036953	-5.71154881	-6.79199219	4.80957031	-6.74316406	-0.07812500	0.00000000	0.00000000	0.00000000	0.00000000	-4.99936215
0.00009380	-47.53800583	-47.56298828	0.27413908	-5.71154881	-6.79199219	4.80957031	-6.75292969	-0.07812500	0.00000000	0.00000000	0.00000000	0.00000000	-4.99936215
0.00009715	-47.50609970	-47.48808670	-0.06716953	-32.96130371	-6.78222656	4.80957031	-6.76269531	-0.09765625	0.00000000	0.00000000	0.00000000	0.00000000	-4.99936215
0.00010050	-47.47419739	-47.33827972	-0.29470858	-5.71154881	-6.79199219	4.80957031	-6.74804687	-0.08300781	0.00000000	0.00000000	0.00000000	0.00000000	-4.99936215
0.00010385	-47.44229126	-47.26337814	0.16036953	-0.26159766	-6.79199219	4.80957031	-6.75781250	-0.08300781	0.00000000	0.00000000	0.00000000	0.00000000	-4.99936215
0.00010720	-47.41038132	-47.41318512	0.72921717	-22.06140327	-6.80175781	4.80957031	-6.78222656	-0.08300781	0.00000000	0.00000000	0.00000000	0.00000000	-4.99936215
0.00011055	-47.37847137	-47.33827972	0.27413908	-11.16149998	-6.79687500	4.80957031	-6.76269531	-0.08300781	0.00000000	0.00000000	0.00000000	0.00000000	-4.99936215
0.00011390	-47.34655762	-47.18847656	0.16036953	-5.71154881	-6.78710937	4.80468750	-6.72851562	-0.08789062	0.00000000	0.00000000	0.00000000	0.00000000	-4.99936215
0.00011725	-47.31464005	-47.41318512	0.16036953	-16.61145210	-6.79199219	4.80468750	-6.73339844	-0.09277344	0.00000000	0.00000000	0.00000000	0.00000000	-4.99936215
0.00012060	-47.28272247	-47.26337814	0.16036953	-5.71154881	-6.79199219	4.80468750	-6.79687500	-0.15136719	0.00000000	0.00000000	0.00000000	0.00000000	-4.99936215
0.00012395	-47.25080490	-47.41318512	-0.29470858	-22.06140327	-6.78222656	4.80468750	-6.75781250	-0.10742187	0.00000000	0.00000000	0.00000000	0.00000000	-4.99936215
0.00012730	-47.21888351	-47.26337814	0.16036953	-11.16149998	-6.79199219	4.80468750	-6.76269531	-0.09765625	0.00000000	0.00000000	0.00000000	0.00000000	-4.99936215
0.00013065	-47.18696594	-47.26337814	0.95675623	-22.06140327	-6.77246094	4.79492187	-6.79199219	-0.09765625	0.00000000	0.00000000	0.00000000	0.00000000	-4.99936215
0.00013400	-47.15505219	-47.41318512	0.27413908	-11.16149998	-6.78710937	4.80468750	-6.76269531	-0.08789062	0.00000000	0.00000000	0.00000000	0.00000000	-4.99936215
0.00013735	-47.12313843	-47.33827972	0.27413908	-11.16149998	-6.79199219	4.80468750	-6.77246094	-0.09277344	0.00000000	0.00000000	0.00000000	0.00000000	-4.99936215
0.00014070	-47.09123230	-47.41318512	0.27413908	5.18835354	-6.77734375	4.80468750	-6.76757812	-0.10253906	0.00000000	0.00000000	0.00000000	0.00000000	-4.99936215
0.00014405	-47.05933380	-47.41318512	0.16036953	-0.26159766	-6.79199219	4.80468750	-6.78710937	-0.10253906	0.00000000	0.00000000	0.00000000	0.00000000	-4.99936215
