Time	Filtered Position	Position	Load	Accelerometer	Drive	Trigger	Spool_1	Spool_2	Strain	lower Head GREEN(Way)	upper Head RED(Way)	Head(Strain)	Head(Strain rate)
s	mm	mm	kN	g	V	V	V	V	mm	mm	mm	%	1/s
0.00015295	-47.97339630	-48.23711014	0.16036953	-5.71154881	-4.56054687	4.80957031	-4.60449219	-0.06835937	0.00000000	0.00000000	0.00000000	0.00000000	26.29099045
0.00015960	-47.94066238	-48.23711014	-0.29470858	-43.86120605	-4.56542969	4.80468750	-4.59472656	-0.06347656	0.00000000	0.00000000	0.00000000	0.00000000	26.29099045
0.00016625	-47.90799713	-48.01240158	0.16036953	-0.26159766	-4.56054687	4.80468750	-4.65332031	-0.10742187	0.00000000	0.00000000	0.00000000	0.00000000	26.29099045
0.00017290	-47.87539291	-48.08730316	0.16036953	-5.71154881	-4.56054687	4.80957031	-4.61914062	-0.07324219	0.00000000	0.00000000	0.00000000	0.00000000	26.29099045
0.00017955	-47.84285736	-47.93750000	0.16036953	-5.71154881	-4.56054687	4.80957031	-4.58984375	-0.06835937	0.00000000	0.00000000	0.00000000	0.00000000	26.29099045
0.00018620	-47.81039429	-48.01240158	-0.18093906	-43.86120605	-4.55566406	4.80957031	-4.59472656	-0.06835937	0.00000000	0.00000000	0.00000000	0.00000000	26.29099045
0.00019285	-47.77798843	-47.93750000	0.84298670	10.63830471	-4.57519531	4.80957031	-4.58496094	-0.06835937	0.00000000	0.00000000	0.00000000	0.00000000	26.29099045
0.00019950	-47.74564362	-48.01240158	0.16036953	-5.71154881	-4.56054687	4.81445312	-4.58496094	-0.05859375	0.00000000	0.00000000	0.00000000	0.00000000	26.29099045
0.00020615	-47.71335983	-47.93750000	0.16036953	5.18835354	-4.56054687	4.80957031	-4.59960937	-0.07812500	0.00000000	0.00000000	0.00000000	0.00000000	26.29099045
0.00021280	-47.68113327	-47.71279144	0.04660000	10.63830471	-4.56054687	4.80957031	-4.58496094	-0.07324219	0.00000000	0.00000000	0.00000000	0.00000000	26.29099045
0.00021945	-47.64896011	-47.71279144	0.61544764	-5.71154881	-4.56054687	4.80957031	-4.58984375	-0.07812500	0.00000000	0.00000000	0.00000000	0.00000000	26.29099045
0.00022610	-47.61683273	-47.63788986	-0.18093906	-11.16149998	-4.53613281	4.80957031	-4.61914062	-0.11718750	0.00000000	0.00000000	0.00000000	0.00000000	26.29099045
0.00023275	-47.58475494	-47.86259842	0.16036953	-16.61145210	-4.56054687	4.81445312	-4.58984375	-0.11230469	0.00000000	0.00000000	0.00000000	0.00000000	26.29099045
0.00023940	-47.55271912	-47.78769684	0.04660000	-0.26159766	-4.56054687	4.80957031	-4.58496094	-0.08300781	0.00000000	0.00000000	0.00000000	0.00000000	26.29099045
0.00024605	-47.52072525	-47.63788986	0.16036953	-5.71154881	-4.56542969	4.80468750	-4.58984375	-0.07324219	0.00000000	0.00000000	0.00000000	0.00000000	26.29099045
0.00025270	-47.48877335	-47.56298828	0.04660000	-0.26159766	-4.55566406	4.80468750	-4.59472656	-0.07812500	0.00000000	0.00000000	0.00000000	0.00000000	26.29099045
0.00025935	-47.45685577	-47.56298828	0.16036953	-11.16149998	-4.57031250	4.80957031	-4.58496094	-0.08789062	0.00000000	0.00000000	0.00000000	0.00000000	26.29099045
0.00026600	-47.42496109	-47.56298828	0.16036953	-0.26159766	-4.56054687	4.80468750	-4.57031250	-0.06835937	0.00000000	0.00000000	0.00000000	0.00000000	26.29099045
0.00027265	-47.39308548	-47.33827972	0.50167811	43.33801270	-4.57031250	4.80957031	-4.58496094	-0.06835937	0.00000000	0.00000000	0.00000000	0.00000000	26.29099045
0.00027930	-47.36122131	-47.56298828	0.16036953	-0.26159766	-4.56542969	4.81445312	-4.59960937	-0.06835937	0.00000000	0.00000000	0.00000000	0.00000000	26.29099045
0.00028595	-47.32937622	-47.56298828	0.16036953	-0.26159766	-4.56542969	4.81445312	-4.59472656	-0.06835937	0.00000000	0.00000000	0.00000000	0.00000000	26.29099045
0.00029260	-47.29755020	-47.26337814	0.16036953	-11.16149998	-4.56542969	4.80957031	-4.58984375	-0.05859375	0.00000000	0.00000000	0.00000000	0.00000000	26.29099045
0.00029925	-47.26572800	-47.03867340	0.27413908	5.18835354	-4.56542969	4.80957031	-4.58007812	-0.04882812	0.00000000	0.00000000	0.00000000	0.00000000	26.29099045
0.00030590	-47.23390198	-47.03867340	-0.63601720	-38.41125488	-4.56054687	4.80957031	-4.60937500	-0.06835937	0.00000000	0.00000000	0.00000000	0.00000000	26.29099045
