0.02200000  1078.38187185
0.02400000  1068.63005379
0.02600000  1106.73119244
0.02800000  1175.82527107
0.03000000  1252.35188570
0.03200000  1333.21943450
0.03400000  1397.48047944
0.03600000  1431.39631009
0.03800000  1455.48390652
0.04000000  1469.85869347
0.04200000  1472.14890780
0.04400000  1463.40733735
0.04600000  1437.58335729
0.04800000  1397.22141871
0.05000000  1340.98436341
0.05200000  1283.23726789
0.05400000  1231.63649837
0.05600000  1185.93893469
0.05800000  1150.44787343
0.06000000  1140.74156899
0.06200000  1149.25510135
0.06400000  1170.80537065
0.06600000  1196.17356093
0.06800000  1226.83618496
0.07000000  1254.64114961
0.07200000  1286.12063994
0.07400000  1317.99146733
0.07600000  1351.55804205
0.07800000  1380.80920803
0.08000000  1406.83560456
0.08200000  1431.44461282
0.08400000  1452.91094695
0.08600000  1465.58127307
0.08800000  1466.16941734
0.09000000  1457.81014089
0.09200000  1438.61177649
0.09400000  1405.87392329
0.09600000  1362.64699470
0.09800000  1316.98726997
0.10000000  1266.04971977
