0.00000000  12.25174748
0.00002000  13.41961839
0.00005000  14.63614177
0.00007000  15.87537120
0.00008000  17.12428983
0.00009000  22.56061027
0.00010999  23.71776867
0.00012999  24.83347793
0.00015999  25.90392396
0.00017998  26.91548392
0.00020998  28.05049937
0.00021998  29.09982055
0.00023997  48.34015885
0.00026996  49.39945425
0.00028996  50.44844581
0.00030995  51.48078410
0.00033994  64.15607565
0.00034994  65.26752564
0.00036993  81.42170489
0.00038992  82.50930608
0.00039992  86.67245512
0.00040992  89.84154994
0.00042991  90.92466080
0.00044990  92.04228040
0.00046989  93.04778191
0.00047988  94.05818627
0.00048988  103.69805716
0.00049988  104.72009388
0.00051986  114.25655253
0.00054985  115.29908964
0.00055984  119.43382551
0.00056984  120.47630237
0.00057983  122.60479956
0.00059982  123.68183460
0.00060981  124.74875035
0.00062980  136.57922073
0.00065978  137.61923879
0.00066978  138.67429957
0.00067977  147.14177842
0.00068976  155.73561348
0.00070975  158.94052771
0.00074972  160.02030529
0.00075971  179.07904672
0.00076970  180.15733441
0.00077970  182.40309353
0.00080967  183.52307338
0.00082966  184.59093342
0.00084964  188.88764815
0.00087961  189.91829115
0.00090959  190.97926312
0.00094955  207.79881151
0.00095954  208.83209654
0.00096953  213.14361896
0.00099950  214.15570176
0.00100949  218.35994102
0.00101948  221.54986059
0.00103946  222.56247450
0.00104945  223.60323714
0.00105944  224.63302888
0.00106943  225.72807088
0.00108941  227.90334417
0.00112936  228.95089249
0.00113935  229.96990717
0.00114934  234.34157325
0.00117930  235.36659524
0.00120927  242.69255309
0.00124922  245.91479974
0.00127918  246.97417282
0.00128917  258.75450327
0.00129916  259.84287718
0.00130914  260.84843439
0.00131913  262.87247424
0.00132912  263.95810799
0.00135908  268.15371375
0.00137905  269.24592733
0.00139902  276.72228959
0.00141899  277.81065174
0.00143896  278.86265480
0.00146892  297.14719521
0.00147891  308.98714517
0.00150886  310.09378564
0.00154880  313.28244630
0.00157875  314.30914505
0.00158874  315.37730387
0.00159872  328.24028550
0.00160871  329.26595607
0.00161869  339.76278548
0.00163866  359.76461793
0.00167859  360.83284247
0.00168857  361.91797946
0.00169856  369.13017632
0.00170854  373.40234801
0.00174847  374.52506388
0.00175845  375.62988709
0.00176844  386.25616545
0.00178840  393.53941687
0.00182833  394.66586926
0.00184829  395.77949000
0.00186825  401.17323370
0.00188822  402.27262101
0.00189820  403.31394329
0.00192814  413.75923708
0.00194810  414.80476507
0.00197804  426.47471128
0.00202794  427.49863412
0.00205788  435.14388362
0.00207784  443.60572468
0.00213771  447.79522544
0.00215767  448.85418538
0.00216765  452.00606933
0.00218761  453.11692763
0.00219758  457.31434301
0.00221754  458.34538284
0.00223749  462.60358606
0.00225745  463.62853781
0.00226743  468.89780731
0.00227740  477.34447963
0.00229736  480.51194139
0.00231731  481.59420242
0.00233727  482.61450150
0.00234724  483.66250212
0.00237717  488.99285973
0.00241708  490.06750025
0.00244700  491.10309193
0.00245698  496.39315055
0.00248691  497.42038035
0.00250686  498.47450844
0.00252680  507.93576444
0.00254675  509.01560835
0.00257668  510.08634617
0.00259663  511.11567457
0.00263652  515.34252198
0.00265647  519.50167843
0.00268639  522.65460906
0.00269636  527.00752879
0.00270633  530.17379787
0.00274623  536.40808678
0.00275620  537.47495788
0.00276617  538.49863077
0.00277614  540.63074685
0.00281603  541.67251100
0.00283597  550.16485334
0.00285592  551.27497007
0.00287586  554.36659085
0.00291575  555.45191738
0.00294566  560.79431728
0.00296560  561.84611164
0.00298554  562.89538988
0.00299551  563.94832462
0.00300548  569.22194633
0.00301545  570.25268784
0.00302542  574.47655568
0.00306530  575.50932611
0.00308524  576.59362589
0.00310517  580.71631842
0.00314505  581.78646271
0.00315502  582.82090257
0.00316499  591.29475128
0.00319489  592.40074555
0.00321483  593.48986357
0.00322479  594.55914303
0.00325470  597.77848556
0.00327463  598.82093136
0.00329457  599.92184041
0.00330453  601.01281940
0.00333443  606.31308443
0.00335437  609.52381177
0.00337430  610.57504168
0.00339423  611.67378388
0.00340420  612.76461627
0.00343410  613.80934548
0.00345403  614.88530738
0.00347396  619.01541311
0.00349389  623.22347430
0.00351382  626.47834870
0.00355368  627.57487112
0.00356364  628.62224820
0.00358357  629.64718748
0.00359354  630.70042698
0.00360350  631.79920106
0.00364335  632.85130677
0.00366328  633.92640283
0.00367325  637.10995828
0.00371310  640.22229010
0.00373302  641.32179639
0.00374299  642.36006079
0.00375295  646.66594590
0.00381272  647.75694517
0.00385257  654.18781531
0.00386253  655.21664313
0.00388245  656.23463099
0.00391234  657.26723718
0.00396214  658.33482433
0.00400198  659.41028421
0.00404182  669.82746872
0.00410158  670.89201981
0.00413145  671.92214870
0.00416133  676.09361266
0.00417129  680.18834222
0.00419120  681.24611677
0.00420116  684.41655388
0.00422108  686.52476759
0.00423104  687.59124784
0.00424099  688.67283303
0.00428082  692.85442861
0.00431070  693.94362150
0.00434057  694.98187733
0.00435052  696.06837357
0.00436048  700.38292644
0.00440030  701.43399224
0.00441026  702.46599644
0.00446999  703.55983029
0.00448991  711.96641614
0.00451977  713.05683086
0.00456954  714.16520432
0.00462927  715.26726180
0.00463922  722.58973037
0.00467904  723.67021971
0.00475866  724.80596129
0.00476861  725.83058502
0.00479847  731.02196361
0.00482832  732.10689996
0.00483828  733.13105377
0.00487808  734.19836923
0.00488803  735.25976534
0.00490794  736.34463864
0.00492784  737.42452983
0.00493779  738.48999978
0.00497759  739.60356704
0.00499749  740.66003883
0.00500744  744.81232204
0.00501739  745.85782845
0.00503729  746.88937953
